text,summary
"US President Donald Trump has said during an interview that he believes that Russian President Vladimir Putin ""probably"" has been involved in assassinations and poisonings of his critics. The US leader also acknowledged that Russia interfered in the 2016 US presidential election, adding, ""But I think China meddled too."" However, he denied allegations that his campaign sought help from Russia.","पुतिन 'शायद' हत्याओं में शामिल थे, जहर: ट्रम्प "
"US President Donald Trump has called Defence Secretary James Mattis ""sort of a Democrat"", saying he ""might leave"". ""Mattis is a good guy...He may leave. I mean, at some point, everybody leaves. Everybody. People leave. That's Washington,"" Trump added. Mattis had last month told reporters not to take seriously the reports that he may be leaving.","ट्रंप ने रक्षा सैनी को 'डेमोक्रेट' कहा, उन्होंने कहा 'छोड़ सकते हैं' "
"Saif Ali Khan has given a hint about the changes that might happen in the core team of 'Sacred Games' season 2 amid harassment allegations. ""Why should I bear the brunt and even why anyone of us who aren't...molesters,"" Saif said. The show's co-director Anurag Kashyap has been accused of shielding Vikas Bahl in an alleged sexual harassment case. ",सैफ ने उत्पीड़न पंक्ति के बीच सेक्रेड गेम्स 2 में बदलाव के संकेत दिए 
"Saif Ali Khan has said that he was harassed in his career 25 years ago but not sexually and he is still angry about it. ""I don't want to talk about it because I am not important today...Today, we have to look after women,"" he added. Saif further said that people who have sexually harassed women should pay for it. ",मेरे करियर में 25 साल पहले परेशान किया गया था लेकिन यौन नहीं: सैफ 
"A video shows robot dog Spot, developed by SoftBank-owned American robotics company Boston Dynamics, autonomously navigating around a construction site. In the video, the robot dog is seen climbing stairs and jumping hurdles at a site in Japan. Spot is currently in pre-production and the company expects to build 100 of these robot dogs starting next year.","निर्माण स्थल पर रोबोट डॉग सीढ़ियां चढ़ता है, कूदता है "
"Union Minister Ramdas Athawale on Sunday said that splitting the tenure of chief ministership in Maharashtra equally between the Shiv Sena and the BJP would satisfy the arguing allies. He added that he would discuss this proposal with leaders of both the parties. Notably, the two parties have been at loggerheads over several issues in the state.","सीएम कार्यकाल को शिवसेना, भाजपा: अठावले के बीच समान रूप से विभाजित करना होगा "
"BJP spokesperson Sambit Patra on Sunday took a dig at Punjab Minister Navjot Singh Sidhu, saying he should get himself inducted in Imran Khan's Cabinet after Sidhu reportedly compared South India with Pakistan. ""It depicts his mentality to divide north and south India and that is a strategy being followed by the whole of Congress,"" Patra added.",पाकिस्तान में इमरान खान के मंत्रिमंडल में शामिल हों: सिद्धू को भाजपा 
"AAP leader Gopal Rai on Sunday said Delhi CM Arvind Kejriwal will launch a nationwide campaign on Monday to tackle the party's ongoing financial crisis. ""Kejriwal will launch the nationwide campaign 'Aap ka Daan Rashtra ka Nirmaan' under which anyone...can donate a minimum...Ã¢ÂÂ¹100...per month,"" Rai added. Party doesn't have sufficient funds to prepare for the upcoming 2019 elections, he said. ",AAP ने अपने वित्तीय संकट से लड़ने के लिए अभियान शुरू किया 
"Stephen Hawking, one of the world's celebrated scientists, in one of his essays predicted that wealthy people will create a ""superhuman"" race by editing their children's DNA. ""I am sure that during this century, people will discover how to modify intelligence and instincts,"" he wrote. It will lead to implications for ""unimproved humans"" who will eventually die out, Hawking added.",धनवान बनाएंगे सुपरमैन: स्टीफन हॉकिंग की भविष्यवाणी 
"Ecuador has restored partial internet access to WikiLeaks founder Julian Assange who has lived in Ecuador's London embassy since June 2012 when he took refuge there to avoid extradition to Sweden over allegations of sex crimes. ""Ecuador rolls back @JulianAssange isolation,"" WikiLeaks tweeted. The move comes over six months after Ecuador suspended Assange's communications in March.",इक्वाडोर 6 महीने के बाद असांजे को इंटरनेट की सुविधा बहाल करता है 
"Saudi Arabia has said it would retaliate against threats to impose sanctions on the kingdom over the disappearance of journalist Jamal Khashoggi in a Saudi consulate in Istanbul. This comes after US President Donald Trump threatened ""severe punishment"" if it turns out Khashoggi was killed in the consulate. A critic of the Saudi government, Khashoggi disappeared on October 2.",लापता पत्रिकाओं पर प्रतिबंधों के खिलाफ जवाबी कार्रवाई करेगा: सऊदी 
"China Ambassador to the US Cui Tiankai has described US arms sales to Taiwan as interference in Chinese internal affairs. This comes after the US approved the sale of $330 million worth of military parts to Taiwan last month. The self-ruled island, which China considers part of its territory, will receive spare parts for several aircraft from the US.",चीन का कहना है कि ताइवान को अमेरिकी हथियारों की बिक्री उसके मामलों में हस्तक्षेप करती है 
"Responding to sexual harassment allegations by documentary director Nishtha Jain against her journalist father Vinod Dua, comedian Mallika Dua said, ""If at all my father is truly guilty...it's unacceptable, traumatic and painful."" ""But your dragging my name into this was in terrible taste,"" Mallika added. Nishtha had earlier said, ""Sorry, Mallika, your father also...belongs to the hall of shame.""","अगर मेरे पिता सभी दोषी हैं, तो यह अस्वीकार्य है: मल्लिका दुआ "
California Institute of Technology and Quebec University scientists have made the world's fastest camera dubbed 'T-CUP' which can take pictures at 10 trillion frames per second and even film light moving in slow motion. The camera uses a method called compressed ultrafast photography (CUP) with femtosecond streak camera used in scanners. A femtosecond is one millionth of a nanosecond.,"दुनिया का सबसे तेज कैमरा बनाया, 10 ट्रिलियन फ्रेम सेकंड में शूट किया "
"A pilot landed a TUI Airways Boeing 757-200 plane sideways at Bristol Airport in the UK after it was swept by Storm Callum's 74-kmph crosswinds on Friday. ""The power of mother nature vs the skill...of the brilliant airline pilots,"" the YouTuber who filmed the landing said. Around nine flights were diverted from the airport mid-air on Friday, reports said.",74 मील प्रति घंटे की हवा में पकड़े जाने के बाद पायलट लैंड प्लेन बग़ल में 
"A picture of a woman has gone viral on the internet as people are confused whether it shows her neck or her back. ""Been staring for 5 minutes and if it's not a neck I'm stupid,"" a Twitter user commented on the picture. The viral picture was revealed to be the bare back of a woman with long curly hair.",गर्दन या पीठ: लोगों के भ्रमित होते ही महिला की तस्वीर वायरल हो जाती है 
"Filmmaker Subhash Ghai has tweeted that he is a great supporter of the #MeToo movement while adding, ""Hope...those taking undue advantage of the movement do not end up diluting it for their own short time fame."" The 73-year-old filmmaker has been accused of sexual harassment by two women. Ghai added his lawyers will take care of the matter.",कम समय की प्रसिद्धि के लिए #MeToo आंदोलन को पतला न करें: सुभाष घई 
"Actress Kriti Sanon on Sunday said that men or women who are sharing their #MeToo stories should either reveal their names and faces or file an FIR or a legal case so that the movement doesn't get misused or diluted. ""Is it fair to consider the accused 'guilty' when the #MeToo story doesn't come with the victimÃ¢ÂÂs name?"" she added.",#MeToo कहानीकारों को या तो नामों का खुलासा करना चाहिए या FIR दर्ज करनी चाहिए: कृति 
Author Ira Trivedi has accused fellow authors Chetan Bhagat and Suhel Seth of sexually harassing her. She alleged that Chetan tried to plant a kiss on her lips after calling her to his room on the pretext of giving her a signed copy of his book. She further alleged that Suhel once told her that she shouldn't wear a bra.,"चेतन चुंबन की कोशिश की, सुहेल ने कहा कि मैं ब्रा नहीं पहन चाहिए: लेखक ईरा "
"Union Minister and ex-Editor MJ Akbar, while responding to multiple sexual harassment allegations against him, said, ""Lies do not have legs, but they do contain poison, which can be whipped into a frenzy."" ""Why has this storm risen a few months before a general election?"" he added. Calling it ""deeply distressing"", the minister said he will take appropriate legal action.",झूठ के पैर नहीं होते: एमजे अकबर पर यौन उत्पीड़न के आरोप 
