text,summary
"The Director of IIM Rohtak, Professor Dheeraj Sharma, has been booked for sexually harassing a former assistant professor at the institute. The victim had filed a complaint on Tuesday claiming she was harassed by Sharma several times since she joined the IIM in 2017. She also alleged that he once went to her cabin and groped her private parts. ",आईआईएम रोहतक के निदेशक ने पूर्व प्रोफेसर के यौन उत्पीड़न के लिए मामला दर्ज किया 
"Amid water scarcity in Shimla, the Himachal Pradesh High Court has ordered the disconnection of the 527 water connections of 224 hotels that have not paid their water bills. Shimla Municipal Commissioner Rohit Jamwal also informed the court that the legal service authority had deputed 16 volunteers and four advocates to monitor the water distribution in Shimla.",शिमला में 224 होटलों के पानी के कनेक्शन काटे: हाई कोर्ट 
"Amid its increased cooperation with India in a range of areas, the US on Wednesday renamed its Pacific Command to Indo-Pacific Command. ""Relationships with our Pacific and Indian Ocean allies have proven critical to maintaining regional stability,"" the US said. The Command, which has about 3.75 lakh personnel, is responsible for all US military activity in the greater Pacific region.",अमेरिका ने अपने प्रशांत कमांड का नाम बदलकर इंडो-पैसिफिक कमांड कर दिया 
Nepal Prime Minister KP Sharma Oli on Wednesday warned his new ministers that they will be sacked if they fail to learn how to operate a laptop within six months. He further said those sacked will be given the laptops so that they can learn to operate until their next tenure. Oli added that the PMO will be made paperless.,लैपटॉप का उपयोग करना सीखें या निकाल दें: नेपाल पीएम मंत्रियों को 
"The CBI has booked OPG Securities and its owner Sanjay Gupta for allegedly hacking NSE's server architecture. Sanjay Gupta developed a software and allegedly colluded with NSE officials to get market feeds from the exchange's server faster than others. In high-frequency trading, an edge of a few seconds can make a huge difference to a stockbroker, officials said.",सीबीआई ने NSE सर्वर को तेजी से एक्सेस करने के लिए स्टॉकब्रोकर को बुक किया 
"Mukesh Ambani-led Reliance Industries, which owns world's biggest refining complex, plans to halt oil imports from Iran, according to reports. Reliance's move comes after US President Donald Trump ordered reimposition of sanctions on Iran. India has said it doesn't follow US sanctions but firms with links to the US financial system could be liable to penalties if they don't comply.",मुकेश अंबानी की रिलायंस ने ईरान तेल आयात को रोका: रिपोर्ट 
"Disha Patani has said she can do a glamorous role in a film, but she wants to come across as an actor first. She added she doesn't want to be part of 'masala' films at this stage. ""Maybe after a few more films, I'd think [of it] and then, viewers could see me in a different light,"" Disha further said. ","ग्लैमरस भूमिका कर सकते हैं, लेकिन अभिनेता 1: दिशा के रूप में आना चाहते हैं "
"Actor John Abraham has denied rumours of a fallout between him and Akshay Kumar. ""Heard that my brother @akshaykumar and I are fighting...Sorry to disappoint but no truth to this,"" he tweeted. Earlier, reports said they had a fallout as Akshay didn't support John in his legal battle against producer Prernaa Arora over his film 'Parmanu: The Story of Pokhran'.",जॉन अब्राहम ने अक्षय कुमार के साथ शादी करने की अफवाहों का खंडन किया 
"With ministers yet to be appointed for Karnataka Cabinet, Congress MP P Chidambaram said, ""So what, Belgium did not have a government for 9 months...Let it take 10-15 days, heavens aren't going to fall."" Meanwhile, JD(S)-Congress alliance formed the state government last week, but the two parties are still working on the allocation of key portfolios like finance and power.","यदि कुछ दिनों के लिए कतका में कोई सरकार नहीं है, तो स्वर्ग नहीं गिर जाएगा: कांग्रेस सांसद "
"Chennai Super Kings' captain MS Dhoni was the most talked about player on Facebook during the Indian Premier League 2018, the social media platform has revealed. Further, with 425 million posts, comments, and reactions, the IPL 2018 saw the highest engagement on Facebook for any edition of IPL. The ""most loved post"" was CSK's Whistle Podu anthem, Facebook added.",एमएस धोनी ने IPL 2018 के दौरान सबसे ज्यादा चर्चा की: फेसबुक 
