headlines,text
"9-year-old killed, 5 injured in Pak firing in J&K","A 9-year-old boy was killed and five villagers were injured on Monday in firing and shelling by Pakistan in Jammu and Kashmir's Poonch district. Indian troops also retaliated to the ceasefire violation that started around 7 in the morning. Army officials said the Pakistani troops have targeted several villages and posts in Shahpur, Kerni, and Qasba sectors in the district."
Cop arrested for attempting to rape 6-year-old girl in UP,"A policeman in Uttar Pradesh has been arrested for attempting to rape a 6-year-old girl inside the police station. The policeman allegedly undressed the girl and was trying to force himself on her when he was caught by the villagers after they heard the girl screaming. Reportedly, the villagers held a protest outside the station, following which he was arrested."
Prez Kovind declares urban Maharashtra open defecation free,"President Ram Nath Kovind on Sunday declared urban areas of Maharashtra open defecation free at a function held in Mumbai's Worli. While Kovind hailed the state for its efforts towards ensuring cleanliness, the state CM Devendra Fadnavis called the declaration a historic moment for Maharashtra. The state authorities said that rural Maharashtra would be open defecation free by March 2018."
38-year-old Nehra returns to India squad for Australia T20Is,"Veteran pacer Ashish Nehra and wicketkeeper-batsman Dinesh Karthik were named in the Indian squad for the T20I series against Australia starting October 7. Nehra, aged 38, last played a T20I in February this year against England while Karthik played in July against Windies. Shikhar Dhawan, who missed the ODI series due to his wife's illness, has also been included."
Startup launches its first space balloon in US,"US-based stratospheric flight startup World View on Saturday launched its first space balloon from its headquarters in the US. The balloons, called Stratollites are high-altitude crafts that can operate at the upper edge of Earth's atmosphere for scientific and observational purposes. The startup claims Stratollite flight platform costs a fraction of the cost of existing technology."
People pull plane in 'tug-of-war' event at US airport,"Over 50 teams on Saturday tried to pull an approximately 42,200-kg aircraft at a US airport during an annual 'tug-of-war' fundraiser benefiting the Special Olympics. The teams comprised 20 people each, and were from fire departments and area police. The team that pulled the aircraft a distance of 10 feet within the fastest amount of time won an award."
Firm hopes to find gold worth $167 bn sunk during world wars,"A salvage operation set sail today to recover some of Britain's $167 billion (around â¹11 lakh crore) worth of gold and precious metals sunk by Germany during the first and second world wars. Britannia's Gold, the firm behind the mission, has spent 25 years analysing lost cargo. If successful, it will negotiate a price with the government for the treasure. "
Who are the participants in Bigg Boss 11?,"TV celebrities who will participate in the reality show 'Bigg Boss 11', which premiered on Sunday, include 'Kyunki Saas Bhi Kabhi Bahu Thi' actor Hiten Tejwani, former actress of 'Bhabi Ji Ghar Par Hai' Shilpa Shinde, and Hina Khan. Dawood Ibrahim's relative Zubair Khan, godwoman SsHivani Durga, and a peon's daughter Jyoti Kumari are also among the 18 contestants."
Salman Khan enters 'Bigg Boss' house as a 'padosi',"Salman Khan has said he is entering the 'Bigg Boss' house as a 'padosi', as part of a format introduced in the reality show's new season. Other 'padosis' include designer-TV personality Sabyasachi Satpathy, actress-model Lucinda Nicholas and two commoners. While 'padosis' are supposed to keep an eye on the other contestants, Salman will keep an eye on all the contestants."
MLA beats up man in public for asking him about development,"An MLA in Meghalaya's South Garo Hills allegedly beat up a man for asking 'uncomfortable' questions relating to the slow progress of development in his constituency. The victim reportedly sustained heavy injuries and was left with a swollen face and blackened eyes. The matter is under investigation and the victim has been sent for a medical test, police officials said. "
Rahul may take over as Congress Prez after Diwali: Sachin,"Congress leader Sachin Pilot has hinted that party Vice President Rahul Gandhi will take over the post of President from his mother Sonia Gandhi soon after Diwali. Adding that Rahul had been handling ""a lot of work"", he said the general sentiment in Congress was that time had come for him to take charge and lead from the front."
State-owned Hindustan Aeronautics files for IPO,"State-owned fighter jet maker Hindustan Aeronautics (HAL) has said it filed a draft prospectus for its Initial Public Offering (IPO). ""This is a major milestone towards listing of the defence PSU which is slated for partial disinvestment by the Government of India,"" HAL Chairman T Suvarna Raju said. The government approved the sale of 10% stake in HAL in 2012."
"Jet fuel price hiked by 6%, LPG price by â¹1.5","Jet fuel price was hiked by 6% on Sunday and will now cost â¹53,045/kilolitre in Delhi. This is the third consecutive monthly hike in jet fuel price. Further, the price of subsidised LPG cylinders has been hiked by â¹1.50 to â¹488.68 per cylinder and the price of non-subsidised LPG cylinders was hiked by â¹1.50 per cylinder to â¹599 in Delhi."
Jim Carreyâs late ex-girlfriend accused him of giving STDs,"Actor Jim Carrey's late former girlfriend Cathriona White has accused him of giving her STDs, in a newly-discovered note that she wrote two years before her suicide in 2015. The note further read, ""You (Jim) introduced me to cocaine, prostitutes, mental abuse and disease...You did good things for me but being with you broke me down as a person.""nnn"
Tamil Nadu gets full-time Governor after 13 months,"With the appointment of Banwarilal Purohit, Tamil Nadu on Saturday got a full-time Governor after a gap of 13 months. Purohit has replaced Vidyasagar Rao, who had taken charge as acting Governor after the retirement of then Governor K Rosaiah. Purohit's appointment comes after the merger of two rival AIADMK factions and the Opposition's calls for a floor test. "
