text,summary
"A man has been arrested after he reportedly made a call threatening a blast in Jaipur, where PM Narendra Modi was conducting a public rally on Saturday. Rajasthan CM Vasundhara Raje's Officer on Special Duty is said to have got the call, where the man claimed he had planted a bomb. The accused is apparently mentally disturbed.","पीएम मोदी की जयपुर रैली में बम की धमकी, एक ने किया धरना "
"Saying that global trade is passing through ""most challenging time"", Commerce Minister Suresh Prabhu said existence of World Trade Organisation (WTO) was under threat for first time as people were questioning the accepted trading norms. ""If you don't have WTO, not only India, every country will have problem. We strongly feel WTO is a must,"" he added.",डब्ल्यूटीओ का अस्तित्व पहली बार खतरे में: सुरेश प्रभु 
"Kiara Advani will star opposite actor Sidharth Malhotra in Kargil martyr Captain Vikram Batra's biopic, tentatively titled 'Sher Shah', as per reports. Sidharth, who will play Captain Vikram Batra, will also reportedly portray Vikram's identical twin brother Vishal in the film. The film will be directed by Vishnu Varadhan and produced by Karan Johar's Dharma Productions. ",सिद्धार्थ स्टारर कारगिल शहीद की बायोपिक में कियारा: रिपोर्ट्स 
"Indo-Canadian actress Lisa Ray, a cancer survivor, sending her wishes to Bollywood actress Sonali Bendre on her cancer diagnosis, tweeted, ""Words often fall short and I've learned that okay, but I do want to send love."" ""You are in my thoughts,"" she further wrote. Lisa was diagnosed with multiple myeloma, a cancer of the white blood cells, in 2009.",प्यार भेजना चाहते हैं: कैंसर से बचे लिजा रे सोनाली बेंद्रे को 
"Instagram daredevil Jackson Coe, aged 25, was found lying dead on the ground behind a six-storey apartment building in Manhattan, New York, on Thursday. Coe had been reportedly drinking with a friend before the fall. ""There was a beer can next to him,"" said Coe's neighbour. Coe posted pictures of his thrill-seeking activities on social media.","इंस्टाग्राम डेयरडेविल जैक्सन को इमारत से गिरता है, मर जाता है "
"The winners of this year's Wimbledon men's singles and women's singles events will get a prize money of ÃÂ£2,250,000 (Ã¢ÂÂ¹20.5 crore) each, while the runners-up will receive ÃÂ£1,125,000 (Ã¢ÂÂ¹10.2 crore) each. The winning pairs of the men's and women's doubles events will get ÃÂ£450,000 (Ã¢ÂÂ¹4.1 crore) respectively. Further, the winning mixed doubles' pair will receive ÃÂ£110,000 (Ã¢ÂÂ¹1 crore).",विंबलडन विजेताओं को कितनी पुरस्कार राशि मिलेगी? 
"Team India captain Virat Kohli took to Twitter to share a picture of himself and his wife Anushka Sharma celebrating former captain MS Dhoni's birthday in the team hotel in Cardiff. Dhoni's face can be seen smeared with cake in the picture. Dhoni, who is the only wicketkeeper-batsman to play 500 international matches, turned 37 today.","कोहली, अनुष्का ने कार्डिफ़ में मनाया एमएस धोनी का जन्मदिन "
"Uruguayan defender JosÃÂ© GimÃÂ©nez started crying during the dying minutes of 2018 FIFA World Cup quarter-final match between Uruguay and France on Friday. The 23-year-oldÃÂ AtlÃÂ©tico Madrid defender was seen in tears when he was helping to form a wall in the 88th minute to block a French free-kick. Uruguay lost the match 0-2, crashing out of the World Cup.  ",उरुग्वे खिलाड़ी WC क्वार्टर फाइनल मैच के दौरान पिच पर रोता है 
"WhatsApp is working on a feature called 'Suspicious link Detection' to restrict spam messages from spreading. The feature helps users in knowing beforehand whether or not the link which they have received is suspicious by displaying a red warning sign over the message. Further, the feature does not send the link to WhatsApp servers to scan it for privacy purposes.",व्हाट्सएप स्पैम से लड़ने के लिए संदिग्ध लिंक का पता लगाने पर काम कर रहा है 
"Congress spokesperson Manish Tewari has said Indian economy is like a directionless ship as the Finance Ministry ""has fallen between two stools"". ""You have an acting Finance Minister and you have a pretending Finance Minister,"" he added. This comes after Railways Minister Piyush Goyal was given the additional charge of Finance Ministry while Arun Jaitley recovered following a kidney transplant.","नाटक के बीच लक्ष्यहीन जहाज जैसी अर्थव्यवस्था, अभिनय एफएम: कांग "
