text,summary
"A 9-year-old boy was killed and five villagers were injured on Monday in firing and shelling by Pakistan in Jammu and Kashmir's Poonch district. Indian troops also retaliated to the ceasefire violation that started around 7 in the morning. Army officials said the Pakistani troops have targeted several villages and posts in Shahpur, Kerni, and Qasba sectors in the district.","जम्मू-कश्मीर में पाक फायरिंग में 9 वर्षीय की मौत, 5 घायल "
"A policeman in Uttar Pradesh has been arrested for attempting to rape a 6-year-old girl inside the police station. The policeman allegedly undressed the girl and was trying to force himself on her when he was caught by the villagers after they heard the girl screaming. Reportedly, the villagers held a protest outside the station, following which he was arrested.",यूपी में 6 साल की बच्ची से बलात्कार की कोशिश करने के आरोप में कॉप गिरफ्तार 
"President Ram Nath Kovind on Sunday declared urban areas of Maharashtra open defecation free at a function held in Mumbai's Worli. While Kovind hailed the state for its efforts towards ensuring cleanliness, the state CM Devendra Fadnavis called the declaration a historic moment for Maharashtra. The state authorities said that rural Maharashtra would be open defecation free by March 2018.",प्रेज़ कोविंद ने शहरी महाराष्ट्र को खुले में शौच मुक्त घोषित किया 
"Veteran pacer Ashish Nehra and wicketkeeper-batsman Dinesh Karthik were named in the Indian squad for the T20I series against Australia starting October 7. Nehra, aged 38, last played a T20I in February this year against England while Karthik played in July against Windies. Shikhar Dhawan, who missed the ODI series due to his wife's illness, has also been included.",38 वर्षीय नेहरा ऑस्ट्रेलिया टी 20 आई के लिए भारत टीम में लौटे 
"US-based stratospheric flight startup World View on Saturday launched its first space balloon from its headquarters in the US. The balloons, called Stratollites are high-altitude crafts that can operate at the upper edge of Earth's atmosphere for scientific and observational purposes. The startup claims Stratollite flight platform costs a fraction of the cost of existing technology.",स्टार्टअप ने अमेरिका में अपना पहला अंतरिक्ष गुब्बारा लॉन्च किया 
"Over 50 teams on Saturday tried to pull an approximately 42,200-kg aircraft at a US airport during an annual 'tug-of-war' fundraiser benefiting the Special Olympics. The teams comprised 20 people each, and were from fire departments and area police. The team that pulled the aircraft a distance of 10 feet within the fastest amount of time won an award.",अमेरिकी एयरपोर्ट पर 'टग-ऑफ-वॉर' इवेंट में लोगों ने प्लेन को खींचा 
"A salvage operation set sail today to recover some of Britain's $167 billion (around Ã¢ÂÂ¹11 lakh crore) worth of gold and precious metals sunk by Germany during the first and second world wars. Britannia's Gold, the firm behind the mission, has spent 25 years analysing lost cargo. If successful, it will negotiate a price with the government for the treasure. ",विश्व युद्धों के दौरान फर्म को $ 167 bn का सोना मिलने की उम्मीद है 
"TV celebrities who will participate in the reality show 'Bigg Boss 11', which premiered on Sunday, include 'Kyunki Saas Bhi Kabhi Bahu Thi' actor Hiten Tejwani, former actress of 'Bhabi Ji Ghar Par Hai' Shilpa Shinde, and Hina Khan. Dawood Ibrahim's relative Zubair Khan, godwoman SsHivani Durga, and a peon's daughter Jyoti Kumari are also among the 18 contestants.",बिग बॉस 11 में कौन-कौन प्रतिभागी हैं? 
"Salman Khan has said he is entering the 'Bigg Boss' house as a 'padosi', as part of a format introduced in the reality show's new season. Other 'padosis' include designer-TV personality Sabyasachi Satpathy, actress-model Lucinda Nicholas and two commoners. While 'padosis' are supposed to keep an eye on the other contestants, Salman will keep an eye on all the contestants.",सलमान खान 'बिग बॉस' के घर में 'पडोसी' के रूप में पहुंचे 
"An MLA in Meghalaya's South Garo Hills allegedly beat up a man for asking 'uncomfortable' questions relating to the slow progress of development in his constituency. The victim reportedly sustained heavy injuries and was left with a swollen face and blackened eyes. The matter is under investigation and the victim has been sent for a medical test, police officials said. ",विधायक ने जनता से विकास के बारे में पूछने के लिए उनकी पिटाई की 
"Congress leader Sachin Pilot has hinted that party Vice President Rahul Gandhi will take over the post of President from his mother Sonia Gandhi soon after Diwali. Adding that Rahul had been handling ""a lot of work"", he said the general sentiment in Congress was that time had come for him to take charge and lead from the front.",राहुल दिवाली के बाद कांग्रेस की कमान संभाल सकते हैं: सचिन 
"State-owned fighter jet maker Hindustan Aeronautics (HAL) has said it filed a draft prospectus for its Initial Public Offering (IPO). ""This is a major milestone towards listing of the defence PSU which is slated for partial disinvestment by the Government of India,"" HAL Chairman T Suvarna Raju said. The government approved the sale of 10% stake in HAL in 2012.",आईपीओ के लिए सरकारी स्वामित्व वाली हिंदुस्तान एयरोनॉटिक्स फाइलें 
"Jet fuel price was hiked by 6% on Sunday and will now cost Ã¢ÂÂ¹53,045/kilolitre in Delhi. This is the third consecutive monthly hike in jet fuel price. Further, the price of subsidised LPG cylinders has been hiked by Ã¢ÂÂ¹1.50 to Ã¢ÂÂ¹488.68 per cylinder and the price of non-subsidised LPG cylinders was hiked by Ã¢ÂÂ¹1.50 per cylinder to Ã¢ÂÂ¹599 in Delhi.","जेट ईंधन की कीमत में 6% की बढ़ोतरी, एलपीजी की कीमत पर ¢ .1.5 "
"Actor Jim Carrey's late former girlfriend Cathriona White has accused him of giving her STDs, in a newly-discovered note that she wrote two years before her suicide in 2015. The note further read, ""You (Jim) introduced me to cocaine, prostitutes, mental abuse and disease...You did good things for me but being with you broke me down as a person.""nnn",जिम कैरीए Car Â € ™ के दिवंगत पूर्व-प्रेमिका ने उन पर एसटीडी देने का आरोप लगाया 
"With the appointment of Banwarilal Purohit, Tamil Nadu on Saturday got a full-time Governor after a gap of 13 months. Purohit has replaced Vidyasagar Rao, who had taken charge as acting Governor after the retirement of then Governor K Rosaiah. Purohit's appointment comes after the merger of two rival AIADMK factions and the Opposition's calls for a floor test. ",तमिलनाडु को 13 महीने बाद पूर्णकालिक राज्यपाल मिला 
"A family in the US state of Colorado launched a GoPro camera into the stratosphere using a weather balloon to capture the view of Earth from above. The camera, which was fitted with a GPS tracker, was lodged in a special container made out of polystyrene foam and toilet paper rolls to protect it during re-entry.",वीडियो: अमेरिकी परिवार ने GoPro कैमरा को स्ट्रैटोस्फियर में लॉन्च किया 
"A one-year-old infant was allegedly wrapped in banana leaves and placed on burning coal as part of a Muharram ritual in Karnataka's Dharwad. A video of the incident shows the infant being placed on coal while men chant in the background. The parents had earlier promised to perform the ritual if they had a boy child, police officials said. ",1-yr पुराने K'taka में अनुष्ठान के हिस्से के रूप में कोयला जलने पर रखा गया 
"During a burglary at an industrialist's house in Bengaluru, one of the thieves reportedly left behind his mobile phone while leaving the house in a hurry. The thieves had poisoned the victim's dog to make it unconscious and then broke open the main door of the house. The thieves stole Ã¢ÂÂ¹3 lakh in cash and 400 gm of gold jewellery.",घर में चोरी होने के बाद B'luru चोर अपने फोन को छोड़ देता है 
